in:Length,in:Stiffness index,in:Strength class,in:CC Height,out:Transverse flexibility Te,out:Transverse flexibility,img
7,1,C24,70,1623.403624,1623.701,Length7_Stiffnessindex1_StrengthclassC24_CCHeight70_GH_Print.png
8,1,C24,70,2768.103047,2768.573,Length8_Stiffnessindex1_StrengthclassC24_CCHeight70_GH_Print.png
3,3,C24,70,37.710289,37.719,Length3_Stiffnessindex3_StrengthclassC24_CCHeight70_GH_Print.png
4,3,C24,70,118.32445,118.352,Length4_Stiffnessindex3_StrengthclassC24_CCHeight70_GH_Print.png
5,3,C24,70,287.907719,287.973,Length5_Stiffnessindex3_StrengthclassC24_CCHeight70_GH_Print.png
6,3,C24,70,595.912462,596.045,Length6_Stiffnessindex3_StrengthclassC24_CCHeight70_GH_Print.png
7,3,C24,70,1102.780463,1103.018,Length7_Stiffnessindex3_StrengthclassC24_CCHeight70_GH_Print.png
8,3,C24,70,1879.942918,1880.331,Length8_Stiffnessindex3_StrengthclassC24_CCHeight70_GH_Print.png
3,8,C24,70,27.449383,27.456,Length3_Stiffnessindex8_StrengthclassC24_CCHeight70_GH_Print.png
4,8,C24,70,85.894919,85.917,Length4_Stiffnessindex8_StrengthclassC24_CCHeight70_GH_Print.png
5,8,C24,70,208.734059,208.787,Length5_Stiffnessindex8_StrengthclassC24_CCHeight70_GH_Print.png
6,8,C24,70,431.737961,431.847,Length6_Stiffnessindex8_StrengthclassC24_CCHeight70_GH_Print.png
7,8,C24,70,798.626932,798.824,Length7_Stiffnessindex8_StrengthclassC24_CCHeight70_GH_Print.png
8,8,C24,70,1361.070422,1361.398,Length8_Stiffnessindex8_StrengthclassC24_CCHeight70_GH_Print.png
3,16,C24,70,22.29041,22.297,Length3_Stiffnessindex16_StrengthclassC24_CCHeight70_GH_Print.png
4,16,C24,70,69.59002,69.609,Length4_Stiffnessindex16_StrengthclassC24_CCHeight70_GH_Print.png
5,16,C24,70,168.927176,168.974,Length5_Stiffnessindex16_StrengthclassC24_CCHeight70_GH_Print.png
6,16,C24,70,349.194408,349.291,Length6_Stiffnessindex16_StrengthclassC24_CCHeight70_GH_Print.png
7,16,C24,70,645.704809,645.88,Length7_Stiffnessindex16_StrengthclassC24_CCHeight70_GH_Print.png
8,16,C24,70,1100.192032,1100.485,Length8_Stiffnessindex16_StrengthclassC24_CCHeight70_GH_Print.png
3,27,C24,70,19.636558,19.642,Length3_Stiffnessindex27_StrengthclassC24_CCHeight70_GH_Print.png
4,27,C24,70,61.202536,61.221,Length4_Stiffnessindex27_StrengthclassC24_CCHeight70_GH_Print.png
5,27,C24,70,148.449921,148.494,Length5_Stiffnessindex27_StrengthclassC24_CCHeight70_GH_Print.png
6,27,C24,70,306.732773,306.823,Length6_Stiffnessindex27_StrengthclassC24_CCHeight70_GH_Print.png
7,27,C24,70,567.039387,567.203,Length7_Stiffnessindex27_StrengthclassC24_CCHeight70_GH_Print.png
8,27,C24,70,965.992296,966.267,Length8_Stiffnessindex27_StrengthclassC24_CCHeight70_GH_Print.png
3,43,C24,70,18.181891,18.187,Length3_Stiffnessindex43_StrengthclassC24_CCHeight70_GH_Print.png
4,43,C24,70,56.605069,56.622,Length4_Stiffnessindex43_StrengthclassC24_CCHeight70_GH_Print.png
5,43,C24,70,137.225635,137.268,Length5_Stiffnessindex43_StrengthclassC24_CCHeight70_GH_Print.png
6,43,C24,70,283.458093,283.544,Length6_Stiffnessindex43_StrengthclassC24_CCHeight70_GH_Print.png
7,43,C24,70,523.92017,524.078,Length7_Stiffnessindex43_StrengthclassC24_CCHeight70_GH_Print.png
8,43,C24,70,892.432814,892.698,Length8_Stiffnessindex43_StrengthclassC24_CCHeight70_GH_Print.png
3,64,C24,70,17.331339,17.337,Length3_Stiffnessindex64_StrengthclassC24_CCHeight70_GH_Print.png
4,64,C24,70,53.916905,53.934,Length4_Stiffnessindex64_StrengthclassC24_CCHeight70_GH_Print.png
5,64,C24,70,130.662735,130.704,Length5_Stiffnessindex64_StrengthclassC24_CCHeight70_GH_Print.png
6,64,C24,70,269.849264,269.933,Length6_Stiffnessindex64_StrengthclassC24_CCHeight70_GH_Print.png
7,64,C24,70,498.708134,498.862,Length7_Stiffnessindex64_StrengthclassC24_CCHeight70_GH_Print.png
8,64,C24,70,849.422194,849.681,Length8_Stiffnessindex64_StrengthclassC24_CCHeight70_GH_Print.png
3,0,C27,70,71.88252,71.897,Length3_Stiffnessindex0_StrengthclassC27_CCHeight70_GH_Print.png
4,0,C27,70,226.361353,226.404,Length4_Stiffnessindex0_StrengthclassC27_CCHeight70_GH_Print.png
5,0,C27,70,551.71012,551.811,Length5_Stiffnessindex0_StrengthclassC27_CCHeight70_GH_Print.png
6,0,C27,70,1142.978662,1143.176,Length6_Stiffnessindex0_StrengthclassC27_CCHeight70_GH_Print.png
7,0,C27,70,2116.339009,2116.676,Length7_Stiffnessindex0_StrengthclassC27_CCHeight70_GH_Print.png
8,0,C27,70,3609.085379,3609.596,Length8_Stiffnessindex0_StrengthclassC27_CCHeight70_GH_Print.png
3,1,C27,70,52.87191,52.883,Length3_Stiffnessindex1_StrengthclassC27_CCHeight70_GH_Print.png
