Outer fold,Inner fold,Hyperparameter,Training error,Validation error,Weighted v. error
7.000000,6.000000,8.000000,0.676938,0.759927,0.108561
7.000000,6.000000,10.000000,0.116735,0.069675,0.009954
7.000000,6.000000,12.000000,0.083212,0.061063,0.008723
7.000000,6.000000,14.000000,0.099377,0.065867,0.009410
7.000000,6.000000,16.000000,0.021482,0.022441,0.003206
7.000000,6.000000,20.000000,0.109004,0.041315,0.005902
8.000000,0.000000,2.000000,7.023618,7.348484,1.049783
8.000000,0.000000,8.000000,0.306970,0.168727,0.024104
8.000000,0.000000,10.000000,0.057029,0.052244,0.007463
8.000000,0.000000,12.000000,0.142825,0.089577,0.012797
8.000000,0.000000,14.000000,0.117571,0.070656,0.010094
8.000000,0.000000,16.000000,0.252696,0.093929,0.013418
8.000000,0.000000,20.000000,0.124273,0.058832,0.008405
8.000000,1.000000,2.000000,7.524271,6.326450,0.903779
8.000000,1.000000,8.000000,0.252771,0.388748,0.055535
8.000000,1.000000,10.000000,0.335833,0.614811,0.087830
8.000000,1.000000,12.000000,0.085126,0.108856,0.015551
8.000000,1.000000,14.000000,0.028156,0.032719,0.004674
8.000000,1.000000,16.000000,0.520050,0.993885,0.141984
8.000000,1.000000,20.000000,0.103976,0.208205,0.029744
8.000000,2.000000,2.000000,7.334856,6.932461,0.990352
8.000000,2.000000,8.000000,0.151719,0.157848,0.022550
8.000000,2.000000,10.000000,0.236761,0.307930,0.043990
8.000000,2.000000,12.000000,0.250557,0.342408,0.048915
8.000000,2.000000,14.000000,0.101680,0.168335,0.024048
8.000000,2.000000,16.000000,0.149722,0.215930,0.030847
8.000000,2.000000,20.000000,0.033255,0.097144,0.013878
8.000000,3.000000,2.000000,6.977525,8.689835,1.241405
8.000000,3.000000,8.000000,0.141143,0.179682,0.025669
8.000000,3.000000,10.000000,0.130404,0.227109,0.032444
8.000000,3.000000,12.000000,0.377997,0.192941,0.027563
8.000000,3.000000,14.000000,0.070516,0.062371,0.008910
8.000000,3.000000,16.000000,0.061502,0.047179,0.006740
