Outer fold,Inner fold,Hyperparameter,Training error,Validation error,Weighted v. error
9.000000,1.000000,18.000000,0.072360,0.176522,0.025219
9.000000,1.000000,24.000000,0.034765,0.221556,0.031653
9.000000,1.000000,28.000000,0.046739,0.380289,0.054331
9.000000,2.000000,2.000000,0.548342,0.580640,0.082955
9.000000,2.000000,8.000000,0.165649,0.185416,0.026490
9.000000,2.000000,14.000000,0.098471,0.149776,0.021398
9.000000,2.000000,18.000000,0.088996,0.244057,0.034868
9.000000,2.000000,24.000000,0.052201,0.183191,0.026172
9.000000,2.000000,28.000000,0.039961,0.180262,0.025754
9.000000,3.000000,2.000000,0.483300,0.399402,0.057062
9.000000,3.000000,8.000000,0.167433,0.177670,0.025383
9.000000,3.000000,14.000000,0.104834,0.150804,0.021545
9.000000,3.000000,18.000000,0.096458,0.163104,0.023302
9.000000,3.000000,24.000000,0.042460,0.117689,0.016814
9.000000,3.000000,28.000000,0.052407,0.213014,0.030433
9.000000,4.000000,2.000000,0.456687,0.551353,0.078771
9.000000,4.000000,8.000000,0.197086,0.252777,0.036114
9.000000,4.000000,14.000000,0.090465,0.157409,0.022489
9.000000,4.000000,18.000000,0.063374,0.179748,0.025680
9.000000,4.000000,24.000000,0.066095,0.333689,0.047674
9.000000,4.000000,28.000000,0.048251,0.329078,0.047015
9.000000,5.000000,2.000000,0.531148,0.644664,0.092102
9.000000,5.000000,8.000000,0.180805,0.281035,0.040151
9.000000,5.000000,14.000000,0.111767,0.226627,0.032378
9.000000,5.000000,18.000000,0.077893,0.317783,0.045401
9.000000,5.000000,24.000000,0.097746,0.337831,0.048265
9.000000,5.000000,28.000000,0.038561,0.453151,0.064741
9.000000,6.000000,2.000000,0.563253,0.448890,0.064097
9.000000,6.000000,8.000000,0.218030,0.186851,0.026681
9.000000,6.000000,14.000000,0.098136,0.139500,0.019919
9.000000,6.000000,18.000000,0.151534,0.213624,0.030504
9.000000,6.000000,24.000000,0.051505,0.270292,0.038595
9.000000,6.000000,28.000000,0.045615,0.193906,0.027688
